MT-TF	ENSG00000210049
ARHGEF7-IT1	ENSG00000233644
ARHGEF7-AS1	ENSG00000227352
CIRBP	ENSG00000099622
ARHGEF7	ENSG00000102606
ASIP	ENSG00000101440
TSPY8	ENSG00000229549
CTSC	ENSG00000109861
MIR1-1HG-AS1	ENSG00000174403
ADAM21P1	ENSG00000235812
MIR1-1HG	ENSG00000174407
IL27RA	ENSG00000104998
DMRT2	ENSG00000173253
MB21D2	ENSG00000180611
RPL12P46	ENSG00000255903
RNF216-IT1	ENSG00000237738
C15orf40	ENSG00000169609
RNF216	ENSG00000011275
ANTXRL	ENSG00000274209
TSPY7P	ENSG00000188656
RPS7P8	ENSG00000213183
FAM197Y7	ENSG00000228383
TYMSP1	ENSG00000219139
LINC00900	ENSG00000246100
FAM76B	ENSG00000077458
TMEM241	ENSG00000134490
EEF1GP6	ENSG00000216518
PRR13P4	ENSG00000264971
WDR18	ENSG00000065268
GPR63	ENSG00000112218
FBF1	ENSG00000188878
C20orf194	ENSG00000088854
KATNBL1P6	ENSG00000228283
LINC00502	ENSG00000224851
NDUFAF4	ENSG00000123545
DDX18P6	ENSG00000220585
KRT8P43	ENSG00000218186
SEMA5A-AS1	ENSG00000251370
PALM3	ENSG00000187867
RPS10P5	ENSG00000101278
BVES-AS1	ENSG00000203808
FAM110A	ENSG00000125898
SIX4	ENSG00000100625
KIAA1109	ENSG00000138688
ECPAS	ENSG00000136813
LINC00910	ENSG00000188825
CALM1	ENSG00000198668
EEF1DP1	ENSG00000228887
AGXT2	ENSG00000113492
HOMER2	ENSG00000103942
POPDC3	ENSG00000132429
SERPINE3	ENSG00000253309
PRXL2C	ENSG00000158122
FARS2	ENSG00000145982
FAAHP1	ENSG00000232022
CHCHD2P8	ENSG00000235115
PAN3-AS1	ENSG00000261485
PEX3	ENSG00000034693
NUDT9P1	ENSG00000234043
MRPL34	ENSG00000130312
BVES	ENSG00000112276
LINC01398	ENSG00000224863
PCGF5	ENSG00000180628
CEBPG	ENSG00000153879
FABP2	ENSG00000145384
RPS4XP16	ENSG00000224892
ABHD8	ENSG00000127220
SNRPGP11	ENSG00000229906
UBE2V1P1	ENSG00000226632
INTS6	ENSG00000102786
RPGRIP1	ENSG00000092200
EIF3FP1	ENSG00000275945
RPL17-C18orf32	ENSG00000215472
MISP3	ENSG00000141854
SULT1D1P	ENSG00000236959
RPS20P14	ENSG00000223803
KLHL2P1	ENSG00000250412
SULT1E1	ENSG00000109193
PDHB	ENSG00000168291
FAM230D	ENSG00000187979
RYKP1	ENSG00000263219
VN1R7P	ENSG00000275592
RPL7P47	ENSG00000228071
VDAC1P8	ENSG00000229036
ANKFY1	ENSG00000185722
DDA1	ENSG00000130311
MYNN	ENSG00000085274
RUBCN	ENSG00000145016
CCNB1IP1P2	ENSG00000230860
CEP57	ENSG00000166037
WFDC8	ENSG00000158901
FUCA2	ENSG00000001036
PAPSS1	ENSG00000138801
SKOR1	ENSG00000188779
ANKRD26	ENSG00000107890
HNRNPA1P37	ENSG00000218574
BTBD1	ENSG00000064726
RPL17	ENSG00000265681
ANO8	ENSG00000074855
ZNF589	ENSG00000164048
SI	ENSG00000090402
RASSF1-AS1	ENSG00000281358
ENY2	ENSG00000120533
CSH1	ENSG00000136488
CDKL4	ENSG00000205111
LINC02346	ENSG00000206187
SLC2A4	ENSG00000181856
PLPP2	ENSG00000141934
GGTLC5P	ENSG00000276160
MRPS18AP1	ENSG00000229759
FCF1P2	ENSG00000228638
PCBP4	ENSG00000090097
NME6	ENSG00000172113
PPM1N	ENSG00000213889
ADAP2	ENSG00000184060
CDC42SE2	ENSG00000158985
HNRNPUP1	ENSG00000259051
RPL7P3	ENSG00000226094
CCNA1	ENSG00000133101
ATP5MC1P3	ENSG00000242244
LINC01391	ENSG00000244578
GTF2IP12	ENSG00000283050
CHL1-AS2	ENSG00000224318
FYTTD1	ENSG00000122068
TRIM74	ENSG00000155428
BRD7P2	ENSG00000184100
LINC01100	ENSG00000242107
RAMAC	ENSG00000169612
IL12A	ENSG00000168811
HECTD2	ENSG00000165338
CHMP4C	ENSG00000164695
RPS8P6	ENSG00000231660
CHL1-AS1	ENSG00000234661
WFDC9	ENSG00000180205
TMEM39B	ENSG00000121775
MAN1A2P1	ENSG00000267799
RPL31P9	ENSG00000264054
LINC01898	ENSG00000261194
WFDC10A	ENSG00000180305
CSHL1	ENSG00000204414
DOLPP1	ENSG00000167130
GSTA4	ENSG00000170899
GRAMD4P2	ENSG00000235992
UPF1	ENSG00000005007
YBX2	ENSG00000006047
NPIPA8	ENSG00000214940
GJB6	ENSG00000121742
LINC01903	ENSG00000265555
TRAJ48	ENSG00000211841
PLEKHS1	ENSG00000148735
TRAJ47	ENSG00000211842
TRAJ46	ENSG00000211843
TRAJ45	ENSG00000211844
TRAJ44	ENSG00000211845
RTN2	ENSG00000125744
IL12A-AS1	ENSG00000244040
CYB5D2	ENSG00000167740
PPCDC	ENSG00000138621
CABLES1	ENSG00000134508
VEZF1P1	ENSG00000236229
RPL12P41	ENSG00000269637
BMS1P22	ENSG00000232775
GH1	ENSG00000259384
IGFL1	ENSG00000188293
NOP56	ENSG00000101361
CFAP298	ENSG00000159079
LINC01938	ENSG00000254066
DMBX1	ENSG00000197587
KLB	ENSG00000134962
ITGA8	ENSG00000077943
METTL2A	ENSG00000087995
CLEC11A	ENSG00000105472
SYNJ2BP-COX16	ENSG00000258644
IGHEP2	ENSG00000254017
PDSS1P1	ENSG00000182347
MTND1P11	ENSG00000228166
MTATP6P11	ENSG00000228097
MTND6P5	ENSG00000227730
MTND4P14	ENSG00000236254
FAM197Y6	ENSG00000237802
JAK2	ENSG00000096968
PTPRF	ENSG00000142949
GHR	ENSG00000112964
WEE1	ENSG00000166483
LRRC74B	ENSG00000187905
KHDRBS1	ENSG00000121774
FAM230J	ENSG00000274044
KTN1	ENSG00000126777
ANGPT4	ENSG00000101280
EML6	ENSG00000214595
GPR32P1	ENSG00000269565
INTS6-AS1	ENSG00000236778
SRMP2	ENSG00000258485
MNAT1	ENSG00000020426
SYNJ2BP	ENSG00000213463
CD79B	ENSG00000007312
LINC00163	ENSG00000234880
FGFR4	ENSG00000160867
C19orf67	ENSG00000188032
IGFL1P2	ENSG00000268238
SIRT5	ENSG00000124523
COX16	ENSG00000133983
RPS20P1	ENSG00000229761
CLDN9	ENSG00000213937
RPL34P3	ENSG00000223671
FAM131C	ENSG00000185519
PPP1R2P2	ENSG00000234008
RCVRN	ENSG00000109047
RUNX1	ENSG00000159216
MFGE8	ENSG00000140545
ZNF175	ENSG00000105497
SBSN	ENSG00000189001
TUG1	ENSG00000253352
PHF2	ENSG00000197724
SNX18P5	ENSG00000275144
KCNT1	ENSG00000107147
PTP4A2P1	ENSG00000267185
KRT8P2	ENSG00000258828
CCL19	ENSG00000172724
THUMPD3P1	ENSG00000248711
LINC00929	ENSG00000259150
LINC01893	ENSG00000264260
SUGCT	ENSG00000175600
CLDN6	ENSG00000184697
TGFBI	ENSG00000120708
MFSD2B	ENSG00000205639
LINC02248	ENSG00000235160
ELMOD1	ENSG00000110675
TCP10L	ENSG00000242220
CCL21	ENSG00000137077
HSD17B1	ENSG00000108786
TNFRSF12A	ENSG00000006327
ZNF516	ENSG00000101493
TRMT5	ENSG00000126814
FOXL2	ENSG00000183770
FOXL2NB	ENSG00000206262
C8orf49	ENSG00000255394
FAM205A	ENSG00000205108
CSNK1G2P1	ENSG00000234534
RYBP	ENSG00000163602
ARHGEF28	ENSG00000214944
MTCO1P11	ENSG00000224083
MTCO2P11	ENSG00000235917
SLC38A6	ENSG00000139974
FKBP1B	ENSG00000119782
DAZL	ENSG00000092345
TCF3P1	ENSG00000236567
RPS27AP14	ENSG00000236594
LHFPL4	ENSG00000156959
MTCO3P11	ENSG00000237711
FAM205BP	ENSG00000257198
SLCO4A1-AS1	ENSG00000232803
INSL6	ENSG00000120210
RN7SK	ENSG00000283293
CYCSP41	ENSG00000278678
TPTE	ENSG00000274391
PAN3	ENSG00000152520
COASY	ENSG00000068120
SLCO4A1	ENSG00000101187
MTND5P14	ENSG00000230225
LINC00846	ENSG00000186842
HIST1H2APS6	ENSG00000223383
SERTM1	ENSG00000180440
ABHD18	ENSG00000164074
DIS3L	ENSG00000166938
CHST12	ENSG00000136213
TMEM38A	ENSG00000072954
TDP2	ENSG00000111802
NPIPB7	ENSG00000233232
EZH2P1	ENSG00000231300
DUSP5P2	ENSG00000235338
FBXO9	ENSG00000112146
CASC4	ENSG00000166734
GRIFIN	ENSG00000275572
APOBR	ENSG00000184730
SLC25A39	ENSG00000013306
WDCP	ENSG00000163026
NUP58	ENSG00000139496
RPL23AP58	ENSG00000228657
SUFU	ENSG00000107882
EEF1A1P3	ENSG00000232587
TUBA3GP	ENSG00000249680
SIGLEC5	ENSG00000105501
HMGN2P32	ENSG00000213558
INSYN1-AS1	ENSG00000260469
INSYN1	ENSG00000205363
SIGLEC14	ENSG00000254415
RPS6KB1	ENSG00000108443
BCRP2	ENSG00000169668
RAB2A	ENSG00000104388
YWHAZP1	ENSG00000259148
KRT8P50	ENSG00000260799
LINC02307	ENSG00000258969
CLN3	ENSG00000188603
EIF4BP1	ENSG00000259019
TTBK2	ENSG00000128881
MFSD8	ENSG00000164073
ABHD14A-ACY1	ENSG00000114786
LINC02277	ENSG00000258487
C18orf32	ENSG00000177576
MIER2	ENSG00000105556
HSD17B1P1	ENSG00000108785
NAGLU	ENSG00000108784
ATP13A4	ENSG00000127249
ANKHD1-EIF4EBP3	ENSG00000254996
RPL9P33	ENSG00000244071
SPDYE8P	ENSG00000273520
STAG3L3	ENSG00000174353
FSCB	ENSG00000189139
ISX-AS1	ENSG00000227895
LINC02302	ENSG00000258998
TRAJ43	ENSG00000211846
NME4	ENSG00000103202
SERBP1P6	ENSG00000248873
TRAJ42	ENSG00000211847
DOCK11P1	ENSG00000259000
ST6GALNAC1	ENSG00000070526
TGFBR2	ENSG00000163513
LINC01987	ENSG00000267790
LINC01973	ENSG00000204283
PPP2R5B	ENSG00000068971
LTK	ENSG00000062524
AKIRIN2	ENSG00000135334
ARL4AP1	ENSG00000122872
C14orf28	ENSG00000179476
ANK3	ENSG00000151150
ICK	ENSG00000112144
ARHGEF7-AS2	ENSG00000235875
FAM205C	ENSG00000187791
RPL30	ENSG00000156482
GLULP4	ENSG00000178723
YWHAZP6	ENSG00000215199
ZNF30	ENSG00000168661
DOCK5	ENSG00000147459
KLF4	ENSG00000136826
LRRC34	ENSG00000171757
FDPSP4	ENSG00000254793
CENPQ	ENSG00000031691
PMS2P7	ENSG00000229018
LINC02151	ENSG00000236437
GPHA2	ENSG00000149735
EIF4EBP3	ENSG00000243056
LINC02317	ENSG00000258678
LINC01912	ENSG00000264699
ANKHD1	ENSG00000131503
AKR1B10P2	ENSG00000263355
POM121L7P	ENSG00000239511
E2F6P2	ENSG00000224688
GLYATL3	ENSG00000203972
FAM138C	ENSG00000218839
NBEAP3	ENSG00000223875
RPL23AP65	ENSG00000243964
PRKCB	ENSG00000166501
MATN2	ENSG00000132561
C18orf65	ENSG00000275763
RNF6P1	ENSG00000227406
RPL7P18	ENSG00000243806
RXFP1	ENSG00000171509
SLF1	ENSG00000133302
RPL35P6	ENSG00000244018
TBC1D21	ENSG00000167139
LINC00683	ENSG00000266256
PSD3	ENSG00000156011
LINC00165	ENSG00000261706
SMTN	ENSG00000183963
DUSP22	ENSG00000112679
MIMT1	ENSG00000268654
WASHC1	ENSG00000181404
TRAJ41	ENSG00000211848
BTF3P10	ENSG00000231120
ATP13A4-AS1	ENSG00000225473
LINC01927	ENSG00000266312
TRAJ40	ENSG00000211849
TRAJ39	ENSG00000211850
HRASLS	ENSG00000127252
TRAJ38	ENSG00000211851
DHX40P1	ENSG00000266992
OTOG	ENSG00000188162
RAET1K	ENSG00000218358
DDX11L5	ENSG00000236875
PGM5P3-AS1	ENSG00000277631
TRAJ37	ENSG00000278661
RNFT1	ENSG00000189050
CHD6	ENSG00000124177
TRAJ36	ENSG00000276699
LFNG	ENSG00000106003
TUBB2A	ENSG00000137267
FUNDC2P4	ENSG00000227009
TRAJ35	ENSG00000211854
ATP13A5-AS1	ENSG00000236508
TRAJ34	ENSG00000211855
ATP13A5	ENSG00000187527
RAET1L	ENSG00000155918
PICSAR	ENSG00000275874
ABHD14A	ENSG00000248487
TSPY3	ENSG00000228927
TRAJ33	ENSG00000211856
TRAJ32	ENSG00000211857
ZNF815P	ENSG00000235944
MCTP1-AS1	ENSG00000249545
TBC1D3P1	ENSG00000238283
MCTP1	ENSG00000175471
TBC1D3P1-DHX40P1	ENSG00000267104
RPS29P21	ENSG00000241913
RGS3	ENSG00000138835
RNFT1-DT	ENSG00000267302
SSR4P1	ENSG00000235374
PDGFB	ENSG00000100311
ABHD14B	ENSG00000114779
ADARB1	ENSG00000197381
DEUP1	ENSG00000165325
PHF24	ENSG00000122733
PPP1R26P3	ENSG00000275060
TOGARAM1	ENSG00000198718
BAGE2	ENSG00000187172
TRAJ31	ENSG00000211858
TRAJ30	ENSG00000211859
TRAJ29	ENSG00000211860
CYP4F60P	ENSG00000230635
RAET1M	ENSG00000216444
TRAJ28	ENSG00000211861
TRAJ27	ENSG00000211862
NISCH	ENSG00000010322
TRAJ26	ENSG00000211863
GAPDHP34	ENSG00000235306
PHBP1	ENSG00000213091
TCEAL4P1	ENSG00000223543
ISCA1P1	ENSG00000217416
FAM230A	ENSG00000277870
ARL2BPP3	ENSG00000215486
PTCSC3	ENSG00000259104
PDE7A	ENSG00000205268
LINC00609	ENSG00000257585
CCDC74BP1	ENSG00000250261
NDE1P2	ENSG00000271337
MAJIN	ENSG00000168070
ZNF510	ENSG00000081386
RPL12P11	ENSG00000232493
TUBB2BP1	ENSG00000216819
HTR1A	ENSG00000178394
MAPRE1	ENSG00000101367
MED15	ENSG00000099917
DNAJB5-DT	ENSG00000281491
WDR37	ENSG00000047056
GOLGA8S	ENSG00000261739
RFPL4AP6	ENSG00000278292
RSPO4	ENSG00000101282
RFPL1S	ENSG00000225465
LINC00668	ENSG00000265933
LINC01804	ENSG00000231031
RBPJP2	ENSG00000274181
RFPL1	ENSG00000128250
TRPT1	ENSG00000149743
ACY1	ENSG00000243989
TRAJ25	ENSG00000211864
PIN1	ENSG00000127445
TRAJ24	ENSG00000211865
TRIT1	ENSG00000043514
TPST2P1	ENSG00000260582
ULBP3	ENSG00000131019
NEFH	ENSG00000100285
CACNA1A	ENSG00000141837
MRPL36	ENSG00000171421
C15orf41	ENSG00000186073
MXRA7	ENSG00000182534
RHOBTB2	ENSG00000008853
SCML2P1	ENSG00000264127
EPHA2	ENSG00000142627
LINC02525	ENSG00000230269
KLHL28	ENSG00000179454
TRAJ23	ENSG00000211866
FAM197Y5	ENSG00000225516
GAS7	ENSG00000007237
RAB28P4	ENSG00000276894
ATP5F1AP10	ENSG00000277297
SDR42E1P4	ENSG00000273849
FKBP4P8	ENSG00000276457
TRAJ22	ENSG00000211867
RAP1BP1	ENSG00000236857
TRAJ21	ENSG00000211868
RPL31P44	ENSG00000213657
TRAJ20	ENSG00000211869
SAXO1	ENSG00000155875
THAP12P3	ENSG00000227972
TRAJ19	ENSG00000211870
BATF2	ENSG00000168062
MMS19	ENSG00000155229
ADAMTSL1	ENSG00000178031
RPS2P7	ENSG00000235508
HOPX	ENSG00000171476
MSC-AS1	ENSG00000235531
ABCD1P4	ENSG00000225293
SLC6A12	ENSG00000111181
HERC2P3	ENSG00000180229
LRRC3C	ENSG00000204913
PKMP5	ENSG00000215057
NELFA	ENSG00000185049
EGR3	ENSG00000179388
RPS20P20	ENSG00000241942
TRPA1	ENSG00000104321
UBE2V2P2	ENSG00000267463
FERMT3	ENSG00000149781
TMC8	ENSG00000167895
GSDMA	ENSG00000167914
LINC01254	ENSG00000260913
TMEM275	ENSG00000282881
ISX	ENSG00000175329
KNCN	ENSG00000162456
TNFRSF10B	ENSG00000120889
TRAJ18	ENSG00000211871
